wing_flat,bill_length,time_period,day_of_year,age,sex
98,19.2,present,221,AHY,M
100,18.8,present,221,AHY,F
101,19.7,present,221,AHY,F
98,17.8,present,221,AHY,M
97,19.3,present,221,HY,M
96,20.6,present,218,AHY,F
95,17.8,present,222,HY,M
99,19.5,present,222,HY,M
97,18,present,218,AHY,M
101,20.7,present,218,AHY,F
95,20.2,present,213,AHY,M
96,19.7,present,219,AHY,M
99,19.5,present,199,AHY,M
99,19.2,present,199,AHY,M
97,18.9,present,218,AHY,M
100,19.4,present,221,AHY,F
99,19.9,present,214,AHY,F
96,19.3,present,199,AHY,F
95,17.2,present,218,AHY,M
94,19.3,present,199,AHY,M
95,17.6,present,199,AHY,M
101,21.7,present,199,AHY,F
96,18.6,present,199,AHY,M
96,20.7,present,199,AHY,M
99,19.6,present,199,AHY,F
98,20.2,present,221,AHY,F
95,19.1,present,218,AHY,M
98,19.7,present,221,AHY,M
96,19.6,present,199,AHY,M
100,NA,present,214,AHY,F
102,NA,present,222,AHY,F
101,NA,present,220,AHY,F
97,NA,present,220,AHY,F
100,NA,present,220,AHY,F
97,NA,present,220,AHY,F
98,NA,present,214,AHY,F
98,NA,present,215,AHY,F
99,NA,present,214,AHY,F
101,NA,present,222,AHY,M
97,NA,present,224,HY,M
100,NA,present,214,AHY,F
100,NA,present,218,AHY,F
98,NA,present,222,AHY,M
98,NA,present,222,AHY,F
99,NA,present,224,HY,F
97,NA,present,224,HY,M
97,NA,present,224,HY,M
98,NA,present,224,HY,M
99,NA,present,224,HY,M
97,NA,present,224,HY,F
94,NA,present,224,HY,M
98,17.6,present,237,HY,M
96,17.2,present,243,HY,M
100,NA,present,214,AHY,F
100,NA,present,224,HY,F
94,18.3,present,243,HY,M
94,18.2,present,229,HY,M
97,18.7,present,229,HY,M
93,19.4,present,229,HY,M
97,19,present,229,HY,F
99,18.8,present,219,AHY,M
98,20.4,present,212,AHY,F
101,19.6,present,219,AHY,M
99,18.2,present,219,AHY,M
99,18.8,present,219,AHY,M
100,19.3,present,219,HY,F
101,21.3,present,219,HY,M
102,19.3,present,219,AHY,F
98,19.8,present,219,AHY,F
103,21.6,present,219,AHY,M
96,16.9,present,219,HY,M
97,18.7,present,219,AHY,M
100,18.8,present,219,AHY,F
99,18.2,present,219,AHY,M
96,19.8,present,219,AHY,F
102,20.5,present,225,HY,F
101,21.6,present,225,HY,F
97,19.1,present,225,HY,M
98,18.1,present,234,HY,F
100,20.8,present,234,HY,F
97,19.2,present,234,HY,M
98,21.2,present,219,AHY,F
97,19.3,present,247,HY,F
98,21.1,present,250,HY,F
99,18.8,present,206,AHY,F
97,18.8,present,206,AHY,M
98,20.6,present,244,HY,F
102,22.6,present,213,AHY,F
98,21.6,present,213,AHY,F
99,23.7,present,213,AHY,F
98,20.5,present,214,AHY,F
96,23,present,214,AHY,F
100,20.9,present,214,AHY,F
97,20.3,present,221,HY,F
96,19.9,present,216,AHY,F
98,20.5,present,221,HY,F
98,20.4,present,221,HY,F
99,20.2,present,221,HY,F
95,18.4,present,221,HY,M
95,18.2,present,221,HY,M
98,18.7,present,223,HY,F
95,18.1,present,241,HY,M
99,17.4,present,242,HY,M
98,21.5,present,243,HY,F
95,18.1,present,246,HY,M
95,17.3,present,246,HY,M
94,18.3,present,246,HY,F
102,20.6,present,246,HY,F
97,19.2,present,246,HY,F
94,18.9,present,216,AHY,M
95,16.8,present,216,HY,M
99,19.3,present,220,HY,F
95,19.3,present,220,HY,F
96,17.8,present,220,HY,M
96,18,present,220,HY,M
97,20.4,present,228,AHY,F
96,17.7,present,231,AHY,M
95,19.1,present,231,HY,M
98,20.2,present,241,HY,F
104,20.1,present,241,HY,F
97,16.4,present,249,HY,M
95,17.7,present,251,HY,M
97,17.6,present,251,HY,M
97,21.3,present,224,HY,F
101,19.8,historical,220,AHY,F
104,21.5,historical,215,AHY,F
103,20.1,historical,219,AHY,F
99,19.4,historical,206,AHY,M
102,20.5,historical,221,AHY,F
97,19.1,historical,218,AHY,M
98,20.5,historical,221,AHY,F
99,19.5,historical,215,AHY,F
100,18.9,historical,201,AHY,M
100,18.3,historical,215,AHY,M
96,17.6,historical,220,AHY,M
99,20.2,historical,220,AHY,F
103,20.3,historical,215,AHY,F
103,21.9,historical,206,AHY,F
