Family,Genus,Species,Genus.Species,Registration number,mBd,Uj,Lj,Ed,Hd,PBd,TL,Bw,Mw,DFb,CFb,AFb,PelFb,Pfb,Perimeter
Alepocephalidae,Alepocephalus,australis,Alepocephalus_australis,P.046858,69.02,43.26,54.81,30.41,44.4,70.27,429,35.4,21.19,42,46,52,11.46,11.23,811
Oreosomatidae,Allocyttus,niger,Allocyttus_niger,P.053972,141.77,38.67,45.57,48.05,86.04,127.94,315,54.77,28.99,117.27,32,99.39,9.18,16.79,633
Diodontidae,Allomycterus,pilatus,Allomycterus_pilatus,P.039274,84.28,9.05,8.74,16.75,52.27,83.9,238,68.78,26.57,25.64,9.9,22.7,NA,21.58,452
Chaetodontidae,Amphichaetodon,howensis,Amphichaetodon_howensis,P.050218,75.23,9.1,9.1,14.72,39.27,73.38,158,21.17,8.81,105,21.76,21.93,9.6,9.86,355
Moridae,Antimora ,rostrata,Antimora_rostrata,P.047831,74,41,37.43,22,34,64,400,46,36,260,19,118,8,15,874
Arripidae,Arripis,xylabion,Arripis_xylabion,P.051988,137.91,59.5,58.43,20.79,69.8,120.85,545,84.24,52.88,246,105,76,28.77,30.72,1135
Grammistidae,Aulacocephalus,temminckii,Aulacocephalus_temminckii,P.050123,49.65,26.4,27.07,11.27,34.19,49.13,166,16.91,12.02,72.48,22.01,25.69,5.57,7.87,337
Congridae,Bassanago,bulbiceps,Bassanago_bulbiceps,P.044020,32.94,24.88,22.05,14.04,20.09,32.36,583,22.09,15.03,NA,820,NA,NA,4.86,1140
Bathygadidae,Bathygadus,cottoides,Bathygadus_cottoides,P.054706,26.77,17.98,18.05,8.49,18.84,25.71,195,17.08,12.9,NA,300,NA,3.11,1.75,379
Ipnopidae,Bathypterois,longifilis,Bathypterois_longifilis,P.042010,27.89,23.94,25.62,2.19,14.85,25.09,228,18.89,16.97,25.38,17.06,16.88,6.95,21,420
Berycidae,Beryx,decadactylus,Beryx_decadactylus,P.033364,207.02,71.83,69.97,53.83,137.64,196.67,479,73.58,45.96,124,103,168,23.95,25.53,1054
Berycidae,Beryx,splendens,Beryx_splendens,P.054054,103.06,36.55,36.23,31.99,69.03,93.88,236,34.47,26.24,66,47,87,13.91,13.58,520
Labridae,Bodianus,flavipinnis,Bodianus_flavipinnis,P.054009,113.78,46.51,45.04,21.59,69.3,108.19,381,53.31,29.93,164.16,63.17,78.08,28.11,23.25,744
Labridae,Bodianus,unimaculatus,Bodianus_unimaculatus,P.052742,128.98,49.99,49.28,19.62,86.98,124.24,449,62.16,40.89,202,66.01,89,23.82,25.04,904
Ophidiidae,Brotulotaenia,nigra,Brotulotaenia_nigra,P.045943,91.18,51.02,49.68,13,47.59,87.14,570,27.57,25.75,92,710,NA,NA,13.55,1115
Serranidae,Caesioperca,lepidoptera,Caesioperca_lepidoptera,P.048552,82.02,24.25,22.53,15.73,45.91,76.21,211,35.16,20.17,115,33,36.53,8.76,17.36,450
Callanthiidae,Callanthias,australis,Callanthias_australis,P.039226,73.84,23.49,22.31,17.91,51.78,71.93,243,34.01,16.22,132,38,74,7.98,16.56,480
Tetraodontidae,Canthigaster,callisterna,Canthigaster_callisterna,P.040694,66.02,5.95,5.02,10.34,43.12,62.03,198,31.41,10.75,12.32,31.33,10.09,NA,14.71,375
Serranidae,Caprodon,longimanus,Caprodon_longimanus,P.052743,119,31.25,31.12,22.2,67.17,108.46,353,53.75,31.37,203,62,58.53,11.94,26.2,724
Zeniontidae,Capromimus,abbreviatus,Capromimus_abbreviatus,P.042055,50.65,16.75,17.91,14.81,31.08,47.5,103,13.81,8.96,44,9.96,36.28,4.26,4.19,218
Macroramphosidae,Centriscops,humerosus,Centriscops_humerosus,P.039438,97.96,5.21,4.25,20.1,39.18,90.54,229,20.43,6.72,66,23,25.15,4.14,12.03,536
Berycidae,Centroberyx,affinis,Centroberyx_affinis,P.050476,129.3,59.93,59.94,32.33,89.85,127.09,306.69,53.53,40.74,117,75,84,14.71,18.29,688
Cepolidae,Cepola,haastii,Cepola_haastii,P.053890,18.83,10.83,10.39,8.25,14.38,18.59,215,10.7,6.36,180,2,153,2.09,5.34,415
Chauliodontidae,Chauliodus,sloani,Chauliodus_sloani,P.042448,24.49,25.79,26.17,10.3,18.34,22.72,226,10.56,9.55,31,8.28,14.03,4.11,5.84,452
Cheilodactylidae,Cheilodactylus,francisi,Cheilodactylus_francisi,P.041671,102.23,15.76,13.82,17.92,53.62,96.73,270,36,18.92,207,43,25.48,9.84,17.64,613
Cheilodactylidae,Cheilodactylus,spectabilis,Cheilodactylus_spectabilis,P.048640,134.99,34,26.25,17.87,89.03,130.95,410,60.99,40.6,262,69,43,14.69,29.4,861
